arquivo,tamanho_paginas,tamanho_memoria,algoritmo,pageFaults, dirtyPages,tempo
../exemplos/compilador.log,2,128,LRU,84419,14083,0.203125
../exemplos/compilador.log,2,256,LRU,59035,10050,0.25
../exemplos/compilador.log,2,512,LRU,40341,7297,0.359375
../exemplos/compilador.log,2,1024,LRU,21639,4457,0.5625
../exemplos/compilador.log,2,2048,LRU,10190,2528,0.96875
../exemplos/compilador.log,2,4096,LRU,4849,1210,1.4375
../exemplos/compilador.log,2,8192,LRU,3621,0,1.54688
../exemplos/compilador.log,2,16384,LRU,3621,0,1.54688
../exemplos/compilador.log,4,128,LRU,98067,16759,0.15625
../exemplos/compilador.log,4,256,LRU,70315,12057,0.203125
../exemplos/compilador.log,4,512,LRU,48526,8496,0.25
../exemplos/compilador.log,4,1024,LRU,31698,5957,0.359375
../exemplos/compilador.log,4,2048,LRU,15609,3436,0.546875
../exemplos/compilador.log,4,4096,LRU,6673,1773,0.984375
../exemplos/compilador.log,4,8192,LRU,3432,733,1.15625
../exemplos/compilador.log,4,16384,LRU,2852,0,1.25
../exemplos/compilador.log,8,128,LRU,132386,23565,0.140625
../exemplos/compilador.log,8,256,LRU,92279,16308,0.171875
../exemplos/compilador.log,8,512,LRU,65270,11670,0.1875
../exemplos/compilador.log,8,1024,LRU,44465,8146,0.25
../exemplos/compilador.log,8,2048,LRU,26928,5418,0.359375
../exemplos/compilador.log,8,4096,LRU,11951,2992,0.515625
../exemplos/compilador.log,8,8192,LRU,4825,1391,0.953125
../exemplos/compilador.log,8,16384,LRU,2494,418,1.07812
../exemplos/compilador.log,16,128,LRU,189322,35969,0.140625
../exemplos/compilador.log,16,256,LRU,123445,22667,0.140625
../exemplos/compilador.log,16,512,LRU,83950,15552,0.15625
../exemplos/compilador.log,16,1024,LRU,57600,10863,0.203125
../exemplos/compilador.log,16,2048,LRU,38430,7481,0.25
../exemplos/compilador.log,16,4096,LRU,21527,4711,0.359375
../exemplos/compilador.log,16,8192,LRU,8198,2283,0.515625
../exemplos/compilador.log,16,16384,LRU,3201,944,0.8125
../exemplos/compilador.log,32,128,LRU,263907,51199,0.140625
../exemplos/compilador.log,32,256,LRU,170963,33391,0.140625
../exemplos/compilador.log,32,512,LRU,109458,20625,0.140625
../exemplos/compilador.log,32,1024,LRU,72140,13794,0.15625
